date,confirmed,deaths,recovered
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,1,0,0
2020-1-31,1,0,0
2020-2-1,1,0,0
2020-2-2,2,0,0
2020-2-3,3,0,0
2020-2-4,3,0,0
2020-2-5,3,0,0
2020-2-6,3,0,0
2020-2-7,3,0,0
2020-2-8,3,0,0
2020-2-9,3,0,0
2020-2-10,3,0,0
2020-2-11,3,0,0
2020-2-12,3,0,0
2020-2-13,3,0,0
2020-2-14,3,0,0
2020-2-15,3,0,0
2020-2-16,3,0,3
2020-2-17,3,0,3
2020-2-18,3,0,3
2020-2-19,3,0,3
2020-2-20,3,0,3
2020-2-21,3,0,3
2020-2-22,3,0,3
2020-2-23,3,0,3
2020-2-24,3,0,3
2020-2-25,3,0,3
2020-2-26,3,0,3
2020-2-27,3,0,3
2020-2-28,3,0,3
2020-2-29,3,0,3
2020-3-1,3,0,3
2020-3-2,5,0,3
2020-3-3,5,0,3
2020-3-4,28,0,3
2020-3-5,30,0,3
2020-3-6,31,0,3
2020-3-7,34,0,3
2020-3-8,39,0,3
2020-3-9,43,0,3
2020-3-10,56,0,4
2020-3-11,62,1,4
2020-3-12,73,1,4
2020-3-13,82,2,4
2020-3-14,102,2,4
2020-3-15,113,2,13
2020-3-16,119,2,13
2020-3-17,142,3,14
2020-3-18,156,3,14
2020-3-19,194,4,15
2020-3-20,244,5,20
2020-3-21,330,4,23
2020-3-22,396,7,27
2020-3-23,499,10,27
2020-3-24,536,10,40
2020-3-25,657,12,43
2020-3-26,727,20,45
2020-3-27,887,20,73
2020-3-28,987,24,84
2020-3-29,1024,27,95
2020-3-30,1251,32,102
2020-3-31,1397,35,123
2020-4-1,1998,58,148
2020-4-2,2543,72,191
2020-4-3,2567,72,192
2020-4-4,3082,86,229
2020-4-5,3588,99,229
2020-4-6,4778,136,375
2020-4-7,5311,150,421
2020-4-8,5916,178,506
2020-4-9,6725,226,620
2020-4-10,7598,246,774
2020-4-11,8446,288,969
2020-4-12,9205,331,1080
2020-4-13,10453,358,1181
2020-4-14,11487,393,1359
2020-4-15,12322,405,1432
2020-4-16,13430,448,1768
2020-4-17,14352,486,2041
2020-4-18,15722,521,2463
2020-4-19,17615,559,2854
2020-4-20,18539,592,3273
2020-4-21,20080,645,3975
2020-4-22,21370,681,4370
2020-4-23,23077,721,5012
2020-4-24,24530,780,5498
2020-4-25,26283,825,5939
2020-4-26,27890,881,6523
2020-4-27,29451,939,7137
2020-4-28,31324,1008,7747
2020-4-29,33062,1079,8437
2020-4-30,34863,1154,9068
2020-5-1,37257,1223,10007
2020-5-2,39699,1323,10819
2020-5-3,42505,1391,11775
2020-5-4,46437,1566,12847
2020-5-5,49400,1693,14142
2020-5-6,52987,1785,15331
2020-5-7,56351,1889,16776
2020-5-8,59695,1985,17887
2020-5-9,62808,2101,19301
2020-5-10,67161,2212,20969
2020-5-11,70768,2294,22549
2020-5-12,74292,2415,24420
2020-5-13,78055,2551,26400
2020-5-14,81997,2649,27969
2020-5-15,85784,2753,30258
2020-5-16,90648,2871,34224
2020-5-17,95698,3025,36795
2020-5-18,100328,3156,39233
2020-5-19,106475,3302,42309
2020-5-20,112028,3434,45422
2020-5-21,118226,3584,48553
2020-5-22,124794,3726,51824
2020-5-23,131423,3868,54385
2020-5-24,138536,4024,57692
2020-5-25,144950,4172,60706
2020-5-26,150793,4344,64277
2020-5-27,158086,4534,67749
2020-5-28,165386,4711,70920
2020-5-29,173491,4980,82627
2020-5-30,181827,5185,86936
2020-5-31,190609,5408,91852
2020-6-1,198370,5608,95754
2020-6-2,207191,5829,100285
2020-6-3,216824,6088,104071
2020-6-4,226713,6363,108450
2020-6-5,236184,6649,113233
2020-6-6,246622,6946,118695
2020-6-7,257486,7207,123848
2020-6-8,265928,7473,129095
2020-6-9,276146,7750,134670
2020-6-10,286605,8102,135206
2020-6-11,297535,8498,147195
2020-6-12,308993,8884,154330
2020-6-13,320922,9195,162379
2020-6-14,332424,9520,169798
2020-6-15,343091,9900,180013
2020-6-16,354065,11903,186935
2020-6-17,366946,12237,194325
2020-6-18,380532,12573,204711
2020-6-19,395048,12948,213831
2020-6-20,410451,13254,227728
2020-6-21,425282,13699,237196
2020-6-22,440215,14011,248190
2020-6-23,456183,14476,258685
2020-6-24,473105,14894,271697
2020-6-25,490401,15301,285637
2020-6-26,508953,15685,295881
2020-6-27,528859,16095,309713
2020-6-28,548318,16475,321723
2020-6-29,566840,16893,334822
2020-6-30,585481,17400,347912
2020-7-1,604641,17834,359860
2020-7-2,625544,18213,379892
2020-7-3,648315,18655,394227
2020-7-4,673165,19268,409083
2020-7-5,697413,19693,424433
2020-7-6,719664,20159,439934
2020-7-7,742417,20642,456831
2020-7-8,767296,21129,476378
2020-7-9,793802,21604,495513
2020-7-10,820916,22123,515386
2020-7-11,849522,22673,534618
2020-7-12,878254,23174,553471
2020-7-13,906752,23727,571460
2020-7-14,936181,24309,592032
2020-7-15,968857,24914,612768
2020-7-16,1003832,25602,635757
2020-7-17,1039084,26273,653751
2020-7-18,1077781,26816,677423
2020-7-19,1118206,27497,700087
2020-7-20,1155338,28082,724578
2020-7-21,1193078,28732,753050
2020-7-22,1238798,29861,782607
2020-7-23,1288108,30601,817209
2020-7-24,1337024,31358,849432
2020-7-25,1385635,32060,885573
2020-7-26,1435616,32771,917568
2020-7-27,1480073,33408,951166
2020-7-28,1531669,34193,988029
2020-7-29,1581963,34955,1019735
2020-7-30,1634746,35718,1055348
2020-7-31,1695988,36511,1094374
2020-8-1,1750723,37364,1145629
2020-8-2,1803695,38135,1186203
2020-8-3,1855745,38938,1230509
2020-8-4,1908254,39795,1282215
2020-8-5,1964536,40699,1328336
2020-8-6,2027074,41585,1378105
2020-8-7,2088611,42518,1427005
2020-8-8,2153010,43379,1480884
2020-8-9,2215074,44386,1535743
2020-8-10,2268675,45257,1583489
2020-8-11,2329638,46091,1639599
2020-8-12,2396637,47033,1695982
2020-8-13,2461190,48040,1751555
2020-8-14,2525922,49036,1808936
2020-8-15,2589952,49980,1862258
2020-8-16,2647663,50921,1919842
2020-8-17,2702681,51797,1977671
2020-8-18,2767253,52888,2037816
2020-8-19,2836925,53866,2096664
2020-8-20,2905825,54849,2158946
2020-8-21,2975701,55794,2222577
2020-8-22,3044940,56706,2280566
2020-8-23,3106348,57542,2338035
2020-8-24,3167323,58390,2404585
2020-8-25,3224547,59357,2458339
2020-8-26,3310234,60472,2523771
2020-8-27,3387500,61529,2583948
2020-8-28,3463972,62550,2648998
2020-8-29,3542733,63498,2713933
2020-8-30,3621245,64469,2774801
